"id","geom","name","code","town","district","state","st_area_sh","st_perimet"
"3577","0101000020E6100000546788CC9D445240CB2C96BFF2363340","Ward No 65","65","Kalyan-Dombivli","Thane","Maharashtra","1101754.68171","5080.41443953"
"3580","0101000020E6100000DE2D53F6EB46524073100909E0383340","Ward No 46","46","Kalyan-Dombivli","Thane","Maharashtra","1595064.75211","6701.8641673"
"3588","0101000020E6100000329F682C6146524043D2E30142373340","Ward No 74","74","Kalyan-Dombivli","Thane","Maharashtra","175457.294399","2390.56428145"
"3597","0101000020E61000003E2BE8074048524023B809F78F3A3340","Ward No 42","42","Kalyan-Dombivli","Thane","Maharashtra","287377.363023","2379.27021591"
"3616","0101000020E61000000FA3B5047449524053AEB2B8273E3340","Ward No 25","25","Kalyan-Dombivli","Thane","Maharashtra","366234.572931","3164.86705144"
"3617","0101000020E6100000ABCF0FA081485240CD64FEAB223F3340","Ward No 28","28","Kalyan-Dombivli","Thane","Maharashtra","344760.530999","2750.56046373"
"3629","0101000020E61000007D09BEFA0E485240FCB8FBDBC4403340","Ward No 20","20","Kalyan-Dombivli","Thane","Maharashtra","1376222.49264","6985.4210145"
"3645","0101000020E6100000542354EEF147524040CA6DA5B6303340","Ward No 117","117","Kalyan-Dombivli","Thane","Maharashtra","7163240.38472","14660.7924748"
"3657","0101000020E6100000673692712148524054D52B7DC1383340","Ward No 87","87","Kalyan-Dombivli","Thane","Maharashtra","275004.315437","3256.22237459"
"3661","0101000020E6100000ADC9BAD9BB48524028935726F9383340","Ward No 99","99","Kalyan-Dombivli","Thane","Maharashtra","154268.914351","2037.58856648"
"3666","0101000020E6100000C23E8D8DB0495240DCBAF6D59C393340","Ward No 95","95","Kalyan-Dombivli","Thane","Maharashtra","182859.44106","3077.6129579"
