id,address,parcel_weight,service_time,window_end,Coordinates 
25,"Church Rd, opposite st xavier school, Labh Siddhi Society, LIC Colony, Suresh Colony, Vile Parle West, Mumbai,",15,15,09:56:00,"19.09829922473114, 72.84281935309882"
26,"Smraat Watch Shop Mohd Zuber Alam ,Shop No.5, Laundry Gali, Govind Nagar, Santacruz (West), Mumbai",10,10,15:39:00,"19.079982443187447, 72.82927663783295"
27,"3RFF+X3H, Ram Mandir Marg, Opposite Shivsena Shakha, Pyari Nagar, Khar Road West, Danda Village, Khar Danda, Mumbai, Maharashtra 400052",26,12,20:27:00,"19.074969800968628, 72.82265181756087"
28,"Shadaab Tower, Sherly Rajan Rd, Rizvi Complex, Shirley, Bandra West, Mumbai, Maharashtra 400050",14,18,10:04:00,"19.06509931637807, 72.82511267339379"
29,"113, Sangeet Samrat Naushad Ali Rd, Bandra West, Mumbai, Maharashtra 400050",15,15,07:47:00,"19.06180272557505, 72.82276159877189"
30,"34/A, Chimbai Rd, Chimbai Village, Bandra West, Mumbai, Maharashtra 400050",10,10,12:09:00,"19.056479787274498, 72.82443581353058"
31,"Agnel Technical Education, Bandstand Promenade, Mount Mary, Bandra West, Mumbai, Maharashtra 400050",9,12,11:11:00,"19.04455784692182, 72.82016890870143"
32,"81, Khan Abdul Gaffar Khan Road, Police Camp, Worli Sea Face, Worli, Mumbai, Maharashtra 400030",17,18,10:29:00,"19.005892315099487, 72.81452171880186"
33,"Dhun Apartment, Worli Hill Rd, Siddharth Nagar, Worli, Mumbai, Maharashtra 400018",16,15,10:15:00,"18.99739357945116, 72.81409942486792"
34,"Everest Building,Dr Gopalrao Deshmukh Marg, opp. 12, IT Colony, Cumballa Hill, Mumbai",15,10,08:52:00,"18.972836661738953, 72.80899941106621"
35,"89, Nepean Sea Rd, Navshanti Nagar, Malabar Hill, Mumbai, Maharashtra 400006",10,12,13:55:00,"18.95133295310395, 72.79692995495759"
36,"Prabhat Building, Churchgate,41, B Rd, Churchgate, Mumbai, Maharashtra 400020",26,18,08:54:00,"18.93505523988752, 72.82469521536076"
37,"SOHANLAL GUPTA SHOP,Garden Rd, near Bharat Petroleum, Apollo Bandar, Colaba, Mumbai",14,15,20:21:00,"18.919207742155848, 72.82969637002158"
38,"Happy Home,380, Telang Cross Rd Number 3, Brhmanwada, Matunga East, Mumbai, Maharashtra 400019",15,10,10:37:00,"19.02801315416998, 72.85421518421826"
39,"hinducolony 5lane kesar polaris,5th Ln, Hindu Colony, Dadar, Mumbai, Maharashtra 400014",10,12,08:57:00,"19.02096943895122, 72.84794373040609"
40,"32, Tilak Marg Number 2, Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra 400014",9,18,18:24:00,"19.01767244501496, 72.84459823719232"
41,"Itone (India) Pvt. Ltd.,312 Jogani Industrial Estate, Senapati Bapat Marg, Dadar (west), Mumbai",10,15,14:50:00,"19.014051916846235, 72.83702414306478"
42,"Century Mill Mhada Building,Century Mills, Lower Parel, Mumbai, Maharashtra 400030",22,10,14:57:00,"19.010046691818452, 72.82596611066897"
43,"Ocean House, Sudam Kalu Ahire Marg, B Wing, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018",12,12,16:17:00,"19.004382942412622, 72.81777161317244"
44,"Samudra mahal,Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018",18,18,10:50:00,"18.988468, 72.811814"
45,"Sophia College Ln , Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026\",16,15,08:23:00,"18.971851, 72.805398"
46,"SHRIPAL NAGAR SOCIETY RAJA HAREEPAL, Harkness Rd, Navshanti Nagar, Malabar Hill, Mumbai, Maharashtra 400006",14,10,08:11:00,"18.94990579180445, 72.79499181987362"
47,"Crawford Market, Sarang St, next to Sadanand Hotel, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra 400003",15,12,15:52:00,"18.948277768620297, 72.83424728364558"
48,"B.I.T. Chawl No. 4, 4, Tadwadi, Mazgaon, Mumbai, Maharashtra 400010",8,18,12:00:00,"18.967691010763037, 72.83729449194689"
49,"Asim Vegetables,Bhaji Market, Byculla West, Chinchpokli, Mumbai, Maharashtra 400027",19,15,14:01:00,"18.97559843269355, 72.83318417434765"
50,"Dr.Ambedkar road, Bhai Bal Mukund Marg, Byculla, Mumbai, Maharashtra 400012",15,10,12:00:00,"18.985964649994088, 72.83475902607346"
