id,address,parcel_weight,service_time,window_end
32,"81, Khan Abdul Gaffar Khan Road, Police Camp, Worli Sea Face, Worli, Mumbai, Maharashtra 400030",17,18,10:29:00
33,"Dhun Apartment, Worli Hill Rd, Siddharth Nagar, Worli, Mumbai, Maharashtra 400018",16,15,10:15:00
34,"Everest Building,Dr Gopalrao Deshmukh Marg, opp. 12, IT Colony, Cumballa Hill, Mumbai",15,10,08:52:00
35,"89, Nepean Sea Rd, Navshanti Nagar, Malabar Hill, Mumbai, Maharashtra 400006",10,12,13:55:00
36,"Prabhat Building, Churchgate,41, B Rd, Churchgate, Mumbai, Maharashtra 400020",26,18,08:54:00
37,"SOHANLAL GUPTA SHOP,Garden Rd, near Bharat Petroleum, Apollo Bandar, Colaba, Mumbai",14,15,20:21:00
38,"Happy Home,380, Telang Cross Rd Number 3, Brhmanwada, Matunga East, Mumbai, Maharashtra 400019",15,10,10:37:00
39,"hinducolony 5lane kesar polaris,5th Ln, Hindu Colony, Dadar, Mumbai, Maharashtra 400014",10,12,08:57:00
40,"32, Tilak Marg Number 2, Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra 400014",9,18,18:24:00
41,"Itone (India) Pvt. Ltd.,312 Jogani Industrial Estate, Senapati Bapat Marg, Dadar (west), Mumbai",10,15,14:50:00
42,"Century Mill Mhada Building,Century Mills, Lower Parel, Mumbai, Maharashtra 400030",22,10,14:57:00
43,"Ocean House, Sudam Kalu Ahire Marg, B Wing, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018",12,12,16:17:00
44,"Samudra mahal,Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018",18,18,10:50:00
45,"Sophia College Ln , Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026\",16,15,08:23:00
46,"SHRIPAL NAGAR SOCIETY RAJA HAREEPAL, Harkness Rd, Navshanti Nagar, Malabar Hill, Mumbai, Maharashtra 400006",14,10,08:11:00
47,"Crawford Market, Sarang St, next to Sadanand Hotel, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra 400003",15,12,15:52:00
48,"B.I.T. Chawl No. 4, 4, Tadwadi, Mazgaon, Mumbai, Maharashtra 400010",8,18,12:00:00
49,"Asim Vegetables,Bhaji Market, Byculla West, Chinchpokli, Mumbai, Maharashtra 400027",19,15,14:01:00
50,"Dr.Ambedkar road, Bhai Bal Mukund Marg, Byculla, Mumbai, Maharashtra 400012",15,10,12:00:00
